Nom: Idle, PID: 0
Nom: System, PID: 4
Nom: Secure System, PID: 88
Nom: Registry, PID: 156
Nom: smss, PID: 520
Nom: csrss, PID: 728
Nom: wininit, PID: 836
Nom: csrss, PID: 844
Nom: services, PID: 912
Nom: LsaIso, PID: 932
Nom: lsass, PID: 964
Nom: winlogon, PID: 976
Nom: svchost, PID: 1028
Nom: fontdrvhost, PID: 1056
Nom: fontdrvhost, PID: 1064
Nom: svchost, PID: 1156
Nom: svchost, PID: 1208
Nom: svchost, PID: 1304
Nom: svchost, PID: 1356
Nom: svchost, PID: 1372
Nom: svchost, PID: 1456
Nom: svchost, PID: 1484
Nom: svchost, PID: 1492
Nom: IntelCpHDCPSvc, PID: 1560
Nom: svchost, PID: 1568
Nom: svchost, PID: 1604
Nom: svchost, PID: 1612
Nom: svchost, PID: 1668
Nom: svchost, PID: 1708
Nom: dwm, PID: 1736
Nom: IntelCpHeciSvc, PID: 1832
Nom: svchost, PID: 1908
Nom: svchost, PID: 1920
Nom: igfxCUIService, PID: 1044
Nom: svchost, PID: 2056
Nom: svchost, PID: 2112
Nom: svchost, PID: 2204
Nom: svchost, PID: 2212
Nom: svchost, PID: 2284
Nom: svchost, PID: 2304
Nom: svchost, PID: 2356
Nom: svchost, PID: 2396
Nom: vmms, PID: 2456
Nom: svchost, PID: 2604
Nom: NVDisplay.Container, PID: 2672
Nom: svchost, PID: 2776
Nom: svchost, PID: 2836
Nom: svchost, PID: 2844
Nom: svchost, PID: 2940
Nom: svchost, PID: 2944
Nom: svchost, PID: 3064
Nom: svchost, PID: 2136
Nom: svchost, PID: 2384
Nom: Memory Compression, PID: 3080
Nom: svchost, PID: 3204
Nom: svchost, PID: 3276
Nom: vmcompute, PID: 3392
Nom: NVDisplay.Container, PID: 3524
Nom: WmiPrvSE, PID: 3564
Nom: svchost, PID: 3640
Nom: WmiPrvSE, PID: 4008
Nom: svchost, PID: 4076
Nom: svchost, PID: 3368
Nom: svchost, PID: 3024
Nom: svchost, PID: 4168
Nom: svchost, PID: 4160
Nom: svchost, PID: 4356
Nom: svchost, PID: 4388
Nom: svchost, PID: 4404
Nom: spoolsv, PID: 4544
Nom: svchost, PID: 4680
Nom: svchost, PID: 4916
Nom: armsvc, PID: 4924
Nom: AnyDesk-bca49ad9, PID: 4932
Nom: AdobeUpdateService, PID: 4940
Nom: escsvc64, PID: 4960
Nom: svchost, PID: 4972
Nom: svchost, PID: 4980
Nom: MSI_Case_Service, PID: 4992
Nom: lghub_updater, PID: 5000
Nom: OneApp.IGCC.WinService, PID: 5016
Nom: LightKeeperService, PID: 5028
Nom: mepService, PID: 5052
Nom: MSI_Central_Service, PID: 5060
Nom: PnkBstrA, PID: 5076
Nom: Mystic_Light_Service, PID: 5088
Nom: jhi_service, PID: 5096
Nom: SecUPDUtilSvc, PID: 5108
Nom: RtkBtManServ, PID: 4128
Nom: MSI_Super_Charger_Service, PID: 4148
Nom: svchost, PID: 5124
Nom: svchost, PID: 5132
Nom: svchost, PID: 5140
Nom: LMS, PID: 5148
Nom: MsMpEng, PID: 5168
Nom: nvcontainer, PID: 5188
Nom: svchost, PID: 5196
Nom: mysqld, PID: 5212
Nom: VoiceControl_Service, PID: 5280
Nom: wslservice, PID: 5348
Nom: MpDefenderCoreService, PID: 5360
Nom: svchost, PID: 5444
Nom: svchost, PID: 5572
Nom: svchost, PID: 6136
Nom: mysqld, PID: 6248
Nom: conhost, PID: 6324
Nom: svchost, PID: 6488
Nom: WmiPrvSE, PID: 7608
Nom: svchost, PID: 8060
Nom: nvcontainer, PID: 8040
Nom: gamingservices, PID: 8212
Nom: gamingservicesnet, PID: 8220
Nom: SearchIndexer, PID: 8252
Nom: MSI.CentralServer, PID: 8368
